Datum;Schnupfen;Nasenkitzel;traenende Augen;geschwollene Augen;Halsweh;belegter Hals;Lunge;Haut;Fieber;AutoSave/Esche;Ambrosia;Hasel;Birke;Erle;Graeser;Beifuss;Roggen;
2021-04-29;1;0;0;0;0;0;0;0;0;manu/1,5;0;0;2,5;0;0;0;0; 
2021-04-30;0;1;0;0;0;0;0;0;0;manu/1,5;0;0;2,5;0;0;0;0; 
2021-05-01;1;0;0;0;0;0;0;0;0;manu/1,5;0;0;2,5;0;0;0;0; 
2021-05-02;0;1;0;0;0;0;0;0;0;manu/0,5;0;0;1;0;0;0;0;
2021-05-03;0;0;0;0;0;0;0;0;0;manu/1;0;0;2,5;0;0;0;0;
2021-05-04;0;1;0;0;0;0;0;0;0;manu/1,5;0;0;2,5;0;0;0;0;
2021-05-05;0;1;0;0;0;0;0;0;0;manu/0,5;0;0;1;0;0;0;0;
2021-05-06;0;0;0;0;0;0;0;0;0;manu/1;0;0;1,5;0;0;0;0;
2021-05-07;0;0;0;0;0;0;0;0;0;manu/0,5;0;0;1,5;0;0;0;0;
2021-05-08;0;1;0;0;0;0;0;0;0;manu/1;0;0;2;0;1;0;0;
2021-05-09;0;0;0;0;0;0;0;0;0;manu/1,5;0;0;2,5;0;1,5;0;0;
2021-05-10;0;0;0;0;0;0;0;0;0;manu/1,5;0;0;2;0;1;0;0;
2021-05-11;1;0;0;0;0;0;0;0;0;manu/1,5;0;0;2;0;1;0;0;
2021-05-12;0;0;0;0;0;0;0;0;0;manu/1;0;0;1,5;0;1;0;0;
2021-05-13;0;0;0;0;0;0;0;0;0;manu/1;0;0;1,5;0;1;0;0;
2021-05-14;0;1;0;0;0;0;0;0;0;manu/1;0;0;2;0;1;0;0;
2021-05-15;0;0;0;0;0;0;0;0;0;manu/0,5;0;0;1,5;0;1;0;0;
2021-05-16;0;1;0;0;0;0;0;0;0;manu/0,5;0;0;1;0;1;0;0;
